title,category
Chả Cá Lăng Ngon 3B cơ sở 3,Nhà hàng
Chả cá Thắng 15b ngô văn sở,Nhà hàng châu Á
Chả cá Vạn Vạn GO! Thăng Long,Nhà hàng
Chả cá lăng Vĩ Ngư,Nhà hàng
Vua Chả Cá - 269 Giảng Võ,Nhà hàng Việt Nam
Chả Cá Thăng Long,Cửa hàng
Chả Cá Lăng Ngon 3B cơ sở 1,Nhà hàng
