title,category
Chả cá Thắng 15b ngô văn sở,Nhà hàng châu Á
Chả cá Lăng Thung Cấm - 32 Võ Thị Sáu,Quán ăn nhỏ
Chả Cá Thăng Long,Cửa hàng
Chả Cá Lăng Ngon 3B cơ sở 3,Nhà hàng
Chả Cá Lăng Ngon 3B cơ sở 1,Nhà hàng
Chả Cá 84,Nhà hàng
Vua Chả Cá - 269 Giảng Võ,Nhà hàng Việt Nam
Chả cá Vạn Vạn GO! Thăng Long,Nhà hàng
Chả Cá Hàng Sơn,Nhà hàng
